ingr,qty,unit,makes,size
"gizzard, chicken",1.5,lb,8,portion
olive oil,0.5,c,,
"bell pepper, red",1,ea,,
"pepper, habanero",1,ea,,
onion,1,c,,
chicken bouillon,1,tsp,,
"thyme, fresh",0.5,tsp,,
black pepper,0.5,tsp,,
cayenne pepper,0.25,tsp,,
salt,0.5,tsp,,
scallion,1,ea,,
