ingr,qty,unit,makes,size
sweet potato,1,lb,6,portion
"potato, red",0.75,lb,,
"beet, fresh",0.5,lb,,
carrot,0.5,lb,,
"parsnip, fresh",1,ea,,
"onion, red",0.5,ea,,
"garlic, fresh",6,ea,,
olive oil,0.25,c,,
"thyme, fresh",2,tbsp,,
"rosemary, dry",3,tsp,,
"cumin, ground",1,tsp,,
salt,1,tsp,,
black pepper,0.25,tsp,,
