ingr,qty,unit,makes,size
"ground beef, 80/20",1.0,lb,12,portion
ground pork 80/20,1.0,lb,48.0,piece
bread crumbs,1.0,lb,,
milk,0.5,c,,
onion,0.3333,c,,
garlic powder,0.25,tsp,,
eggs,1.0,ea,,
"parsley, fresh",0.25,c,,
"cheese, parmesan shredded",0.25,c,,
salt,1.0,tsp,,
black pepper,1.0,tsp,,
italian seasoning,1.0,tsp,,
