ingr,qty,unit,makes,size
"pasta, rigatoni",1.5,lb,1.0,half pan
"tomato, cherry",12.0,oz,,
heavy cream,2.0,c,,
"cheese, mozzarella fresh",8.0,oz,,
marinara,8.0,oz,,
"arugula, 11oz",1.0,ea,,
