ingr,qty,unit,makes,size
hazlenut,0.75,c,16,piece
"chocolate, bittersweet",9,oz,,
"chocolate, baking milk",9,oz,,
"butter, unsalted",5,tbsp,,
nutella,1.25,c,,
eggs,6,ea,,
sugar,0.333,c,,
salt,0.125,tsp,,
heavy cream,0.25,c,,
"chocolate, bittersweet",2,oz,,
hazlenut,16,ea,,
heavy cream,0.25,c,,
cocoa powder,5,tbsp,,
