ingr,qty,unit,makes,size
"gizzard, chicken",3.5,lb,1,full pan
tripe,3.5,lb,30,portion
"goat, bone-in",3.5,lb,,
"tomato, large",6,ea,,
"pepper, habanero",2.5,ea,,
onion,2.5,ea,,
scallion,10,ea,,
"garlic, fresh",7.5,ea,,
"thyme, dry",2.5,tsp,,
curry powder,2.5,tsp,,
"bay leaf, whole",2.5,ea,,
chicken stock,7.5,tbsp,,
soybean oil,0.5,c,,
salt,1,tsp,,
