ingr,qty,unit,makes,size
creme fraiche,3,tbsp,16,piece
"basil, fresh",2,tbsp,,
chive,2,tbsp,,
"tarragon, fresh",2,tbsp,,
olive oil,2,tsp,,
"lemon, whole",1,ea,,
lemon juice,1,tsp,,
salt,0.25,tsp,,
"crabmeat, blue lump",1,c,,
