ingr,qty,unit,makes,size
white wine,0.5,c,2.5,qt
"onion, yellow",1,ea,,
carrot,1,ea,,
celery,0.125,ea,,
tomato paste,2,tbsp,,
"thyme, dry",0.5,tsp,,
"parsley, dry",2,tbsp,,
"bay leaf, whole",1,ea,,
black pepper,1,g,,
salt,2,tsp,,
