ingr,qty,unit,makes,size
olive oil,2,tbsp,6,portion
"onion, yellow",1,ea,,
salt,0.5,tsp,,
"squash, butternut",3,lb,,
"garlic, fresh",3,ea,,
"sage, fresh",1,tbsp,,
"rosemary, dry",0.5,tbsp,,
"ginger, fresh",1,tsp,,
vegetable broth,3.5,c,,
black pepper,1,dash,,
