ingr,qty,unit,makes,size
"squash, butternut",2,c,6,portion
olive oil,2,tsp,,
salt,1,tsp,,
mixed greens,5,oz,,
"cranberries, dry",0.25,c,,
"pear, fresh",1,ea,,
"vinegar, apple cider",0.25,c,,
honey,2,tbsp,,
"garlic, fresh",0.5,tsp,,
salt,1,tsp,,
black pepper,0.25,tsp,,
olive oil,0.5,c,,
"walnuts, raw",2,tbsp,,
