ingr,qty,unit,makes,size
lamb rack,2,lb,5.33333333,portion
"garlic, fresh",4,ea,,
"rosemary, fresh",1,tbsp,,
salt,1.25,tsp,,
black pepper,1,tsp,,
"lemon, whole",1,ea,,
olive oil,0.25,c,,
