ingr,qty,unit,makes,size
"apple, golden delicious",6,ea,6,portion
sugar,2,tbsp,,
"cinnamon, ground",1.75,tsp,,
lemon juice,1.5,tsp,,
brown sugar,1,c,,
oats,0.75,c,,
flour,0.75,c,,
"butter, unsalted",0.5,c,,
salt,1,pinch,,
