ingr,qty,unit,makes,size
"potato, red",2,lb,6,portion
olive oil,2,tbsp,,
garlic powder,1,tsp,,
"rosemary, fresh",3,tbsp,,
"thyme, fresh",3,tbsp,,
"basil, fresh",3,tbsp,,
paprika,0.5,tsp,,
salt,1,tsp,,
black pepper,1,tsp,,
