ingr,qty,unit,makes,size
hawaiian round bread,1,ea,6,portion
"butter, unsalted",2,tbsp,1,whole
eggs,4,ea,,
milk,2,c,,
sugar,0.5,c,,
honey,3,tbsp,,
"cinnamon, dry",1,tsp,,
nutmeg,0.5,tsp,,
vanilla extract,1,tsp,,
macadamia nuts,0.5,c,,
