ingr,qty,unit,makes,size
"crabmeat, lump",24,oz,12.0,portion
shrimp 21-25,24,oz,,
"lemon, whole",3,ea,,
celery,1.5,c,,
"onion, red",9,tbsp,,
old bay,1.5,tsp,,
lemon juice,6,tsp,,
salt,1,pinch,,
black pepper,1,pinch,,
mayonnaise,1.5,c,,
"dill, fresh",4.5,tbsp,,
