ingr,qty,unit,makes,size
"turkey, whole",17.5,lb,1,whole
"garlic, fresh",3,oz,15,portion
onion,32,oz,,
"thyme, dry",0.5,oz,,
"rosemary, dry",1,oz,,
water,12,qt,,
salt,13,oz,,
chicken stock,5,oz,,
soybean oil,1.5,gal,,
molasses,5,oz,,
