ingr,qty,unit,makes,size
lamb rack,2.0,lb,8,portion
"garlic, fresh",4.0,ea,,
"rosemary, fresh",1.0,tbsp,,
salt,1.25,tsp,,
black pepper,1.0,tsp,,
"lemon, whole",1.0,ea,,
olive oil,0.25,c,,
