ingr,qty,unit,makes,size
"salmon, wild",2,lb,6,portion
"rosemary, fresh",5,ea,,
"lemon, whole",2,ea,,
olive oil,2,tbsp,,
salt,1,tsp,,
black pepper,0.25,tsp,,
"garlic, fresh",4,ea,,
