ingr,qty,unit,makes,size
brown sugar,0.5,c,24,ea
"vinegar, rice",0.5,c,8,portion
ketchup,0.25,c,,
pineapple juice,2.25,c,,
cornstarch,1,tbsp,,
meatball,24,ea,,
pineapple chunks,1,c,,
