ingr,qty,unit,makes,size
leg of lamb,7,lb,8,portion
"garlic, fresh",4,ea,1,whole
salt,1,tbsp,,
"rosemary, fresh",2,tbsp,,
black pepper,0.5,tsp,,
red wine,0.25,c,,
