ingr,qty,unit,makes,size
carrot,2,ea,8.0,portion
"lettuce, iceberg",2,c,,
cabbage,2,c,,
cucumber,1,ea,,
"pasta, macaroni",1,c,,
eggs,2,ea,,
baked beans,2,oz,,
"corn,  kernel",8,oz,,
"vinegar, white wine",2,tbsp,,
mayonnaise,6,tbsp,,
sugar,2,tbsp,,
mustard,2,tbsp,,
salad cream,8,tbsp,,
"tomato, large",2,ea,,
