ingr,qty,unit,makes,size
"butter, unsalted",2,tbsp,4,portion
shallot,0.333333333333333,c,,
white wine,0.75,c,,
crab base,3,oz,,
water,4,c,,
white rice,0.25,c,,
tomato paste,2,tbsp,,
"crabmeat, claw",1.25,lb,,
heavy cream,1.25,c,,
salt,0.5,tsp,,
cayenne pepper,0.125,tsp,,
