ingr,qty,unit,makes,size
eggs,6,ea,24.5,portion
worcestershire,1,tbsp,,
hot sauce,1,tbsp,,
"mustard, dry",2,tbsp,,
mayonnaise,4,c,,
"lemon, whole",1,ea,,
old bay,2,tbsp,,
jumbo lump crabmeat,6,lb,,
bread crumbs,1.5,c,,
