ingr,qty,unit,makes,size
eggs,7,ea,9,portion
"cheese, feta",50,g,,
salt,0.5,tsp,,
black pepper,0.25,tsp,,
spinach,300,g,,
olive oil,1,tbsp,,
heavy cream,0.25,c,,
