ingr,qty,unit,makes,size
filet mignon (whole foods),12,lb,24,portion
salt,6,tsp,,
black pepper,2,tsp,,
eggs,12,ea,,
"vinegar, white wine",3,tbsp,,
"butter, unsalted",2,c,,
"tarragon, fresh",30,g,,
