ingr,qty,unit,makes,size
tilapia,10,lb,1,full pan
"tomato, large",15,ea,30,portion
"bell pepper, red",5,ea,,
"pepper, habanero",5,ea,,
onion,5,ea,,
olive oil,2.5,c,,
chicken stock,2.5,c,,
"thyme, dry",2.5,tsp,,
black pepper,5,tsp,,
salt,5,tsp,,
