ingr,qty,unit,makes,size
"tomato, large",2,lb,20,piece
salt,0.5,tsp,,
onion,0.5,c,,
"basil, fresh",0.5,c,,
"garlic, fresh",2,ea,,
baguette,1,ea,,
olive oil,5,tbsp,,
"vinegar, balsamic",3,tbsp,,
