ingr,qty,unit,makes,size
"potato, red",1,lb,3,portion
olive oil,2,tbsp,,
"butter, unsalted",2,tbsp,,
salt,0.5,tsp,,
"paprika, smoked",0.5,tsp,,
garlic powder,0.25,tsp,,
"thyme, dry",0.25,tsp,,
