ingr,qty,unit,makes,size
salmon,3,lb,13,portion
mayonnaise,0.5,c,,
"mustard, dijon",1,tbsp,,
lemon juice,0.5,tbsp,,
capers,1,tbsp,,
worcestershire,0.5,tsp,,
hot sauce,0.5,tsp,,
bread crumbs,0.25,c,,
