ingr,qty,unit,makes,size
sweet potato,4,ea,9,portion
sugar,0.25,c,,
brown sugar,0.25,c,,
eggs,2,ea,,
heavy cream,0.5,c,,
"butter, unsalted",4,tbsp,,
vanilla extract,1.5,tsp,,
salt,0.5,tsp,,
brown sugar,1,c,,
flour,0.5,c,,
"cinnamon, dry",0.5,tsp,,
salt,2,pinch,,
"pecans, raw",0.5,c,,
"butter, unsalted",4,tbsp,,
