ingr,qty,unit,makes,size
creme fraiche,3.0,tbsp,16.0,piece
"basil, fresh",2.0,tbsp,,
chive,2.0,tbsp,,
"tarragon, fresh",2.0,tbsp,,
olive oil,2.0,tsp,,
"lemon, whole",1.0,ea,,
lemon juice,1.0,tsp,,
salt,0.25,tsp,,
"crabmeat, blue lump",1.0,lb,,
