ingr,qty,unit,makes,size
salmon fillet,4,ea,4,portion
salt,1,tsp,,
black pepper,1,tsp,,
"butter, unsalted",6,tbsp,,
honey,3,tbsp,,
garlic powder,2,tsp,,
"paprika, smoked",2,tsp,,
cayenne pepper,1,tsp,,
onion powder,1,tsp,,
red pepper flakes,0.5,tsp,,
