ingr,qty,unit,makes,size
"potato, russet",4,lb,8,portion
peanut oil,2,qt,,
"basil, fresh",2,tbsp,,
"oregano, fresh",2,tbsp,,
garlic powder,0.5,tsp,,
salt,1,tbsp,,
"cheese, parmesan shredded",0.333333333333333,c,,
