ingr,qty,unit,makes,size
olive oil,1.5,tbsp,5,portion
"beef, chuck",1,lb,,
salt,0.5,tsp,,
black pepper,0.5,tsp,,
onion,1,ea,,
"garlic, fresh",3,ea,,
carrot,3,ea,,
celery,0.25,ea,,
flour,4,tbsp,,
beef broth,2.5,c,,
red wine,1.5,c,,
water,1.5,c,,
tomato paste,2,tbsp,,
"bay leaf, whole",2,ea,,
"thyme, dry",1,tsp,,
peas,1,c,,
"potato, russet",2,ea,,
