ingr,qty,unit,makes,size
chicken thigh,2,lb,6,portion
cucumber,1,ea,,
onion,1,ea,,
soybean oil,3,tbsp,,
"garlic, fresh",2,ea,,
shallot,2,ea,,
turmeric,2,tsp,,
chili powder,1,tsp,,
salt,0.5,tbsp,,
honey,2,tbsp,,
peanut sauce,1,c,,
