ingr,qty,unit,makes,size
black eyed peas,1,c,6,portion
"onion, red",0.25,ea,,
"bell pepper, red",1,ea,,
chicken stock,1,c,,
salt,2,tsp,,
"pepper, habanero",1,ea,,
soybean oil,0.25,c,,
moi moi leaves,14,ea,,
eggs,2,ea,,
